# Books List
# Format: ID | Title | Author
B0001 | To Kill a Mockingbird | Harper Lee
B0568 | The Hobbit | J.R.R. Tolkien
B0569 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0570 | The Lord of the Rings | J.R.R. Tolkien
B0571 | Brave New World | Aldous Huxley
B0572 | Crime and Punishment | Fyodor Dostoevsky
B0573 | The Alchemist | Paulo Coelho
B0574 | The Da Vinci Code | Dan Brown
B0575 | The Kite Runner | Khaled Hosseini
B0576 | The Fault in Our Stars | John Green
B0577 | The Hunger Games | Suzanne Collins
B0578 | The Chronicles of Narnia | C.S. Lewis
B0579 | Jane Eyre | Charlotte Brontë
B0580 | Wuthering Heights | Emily Brontë
B0581 | The Picture of Dorian Gray | Oscar Wilde
B0582 | Animal Farm | George Orwell
B0583 | Little Women | Louisa May Alcott
B0584 | Les Misérables | Victor Hugo
B0585 | The Shining | Stephen King
B0586 | It | Stephen King
B0587 | A Game of Thrones | George R.R. Martin
B0588 | The Name of the Wind | Patrick Rothfuss
B0589 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0590 | Thinking, Fast and Slow | Daniel Kahneman
B0591 | Clean Code | Robert C. Martin
B0592 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0593 | Introduction to Algorithms | Thomas H. Cormen
B0594 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0595 | Operating System Concepts | Abraham Silberschatz
B0596 | Computer Networks | Andrew S. Tanenbaum
B0597 | Database System Concepts | Abraham Silberschatz
B0598 | Modern Operating Systems | Andrew S. Tanenbaum
B0599 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0600 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0601 | To Kill a Mockingbird | Harper Lee
B0602 | 1984 | George Orwell
B0603 | Pride and Prejudice | Jane Austen
B0604 | The Great Gatsby | F. Scott Fitzgerald
B0605 | Moby-Dick | Herman Melville
B0606 | War and Peace | Leo Tolstoy
B0607 | The Catcher in the Rye | J.D. Salinger
B0608 | The Hobbit | J.R.R. Tolkien
B0609 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0610 | The Lord of the Rings | J.R.R. Tolkien
B0611 | Brave New World | Aldous Huxley
B0612 | Crime and Punishment | Fyodor Dostoevsky
B0613 | The Alchemist | Paulo Coelho
B0614 | The Da Vinci Code | Dan Brown
B0615 | The Kite Runner | Khaled Hosseini
B0616 | The Fault in Our Stars | John Green
B0617 | The Hunger Games | Suzanne Collins
B0618 | The Chronicles of Narnia | C.S. Lewis
B0619 | Jane Eyre | Charlotte Brontë
B0620 | Wuthering Heights | Emily Brontë
B0621 | The Picture of Dorian Gray | Oscar Wilde
B0622 | Animal Farm | George Orwell
B0623 | Little Women | Louisa May Alcott
B0624 | Les Misérables | Victor Hugo
B0625 | The Shining | Stephen King
B0626 | It | Stephen King
B0627 | A Game of Thrones | George R.R. Martin
B0628 | The Name of the Wind | Patrick Rothfuss
B0629 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0630 | Thinking, Fast and Slow | Daniel Kahneman
B0631 | Clean Code | Robert C. Martin
B0632 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0633 | Introduction to Algorithms | Thomas H. Cormen
B0634 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0635 | Operating System Concepts | Abraham Silberschatz
B0636 | Computer Networks | Andrew S. Tanenbaum
B0637 | Database System Concepts | Abraham Silberschatz
B0638 | Modern Operating Systems | Andrew S. Tanenbaum
B0639 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0640 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0641 | To Kill a Mockingbird | Harper Lee
B0642 | 1984 | George Orwell
B0643 | Pride and Prejudice | Jane Austen
B0644 | The Great Gatsby | F. Scott Fitzgerald
B0645 | Moby-Dick | Herman Melville
B0646 | War and Peace | Leo Tolstoy
B0647 | The Catcher in the Rye | J.D. Salinger
B0648 | The Hobbit | J.R.R. Tolkien
B0649 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0650 | The Lord of the Rings | J.R.R. Tolkien
B0651 | Brave New World | Aldous Huxley
B0652 | Crime and Punishment | Fyodor Dostoevsky
B0653 | The Alchemist | Paulo Coelho
B0654 | The Da Vinci Code | Dan Brown
B0655 | The Kite Runner | Khaled Hosseini
B0656 | The Fault in Our Stars | John Green
B0657 | The Hunger Games | Suzanne Collins
B0658 | The Chronicles of Narnia | C.S. Lewis
B0659 | Jane Eyre | Charlotte Brontë
B0660 | Wuthering Heights | Emily Brontë
B0661 | The Picture of Dorian Gray | Oscar Wilde
B0662 | Animal Farm | George Orwell
B0663 | Little Women | Louisa May Alcott
B0664 | Les Misérables | Victor Hugo
B0665 | The Shining | Stephen King
B0666 | It | Stephen King
B0667 | A Game of Thrones | George R.R. Martin
B0668 | The Name of the Wind | Patrick Rothfuss
B0669 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0670 | Thinking, Fast and Slow | Daniel Kahneman
B0671 | Clean Code | Robert C. Martin
B0672 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0673 | Introduction to Algorithms | Thomas H. Cormen
B0674 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0675 | Operating System Concepts | Abraham Silberschatz
B0676 | Computer Networks | Andrew S. Tanenbaum
B0677 | Database System Concepts | Abraham Silberschatz
B0678 | Modern Operating Systems | Andrew S. Tanenbaum
B0679 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0680 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0681 | To Kill a Mockingbird | Harper Lee
B0682 | 1984 | George Orwell
B0683 | Pride and Prejudice | Jane Austen
B0684 | The Great Gatsby | F. Scott Fitzgerald
B0685 | Moby-Dick | Herman Melville
B0686 | War and Peace | Leo Tolstoy
B0687 | The Catcher in the Rye | J.D. Salinger
B0688 | The Hobbit | J.R.R. Tolkien
B0689 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0690 | The Lord of the Rings | J.R.R. Tolkien
B0691 | Brave New World | Aldous Huxley
B0692 | Crime and Punishment | Fyodor Dostoevsky
B0693 | The Alchemist | Paulo Coelho
B0694 | The Da Vinci Code | Dan Brown
B0695 | The Kite Runner | Khaled Hosseini
B0696 | The Fault in Our Stars | John Green
B0697 | The Hunger Games | Suzanne Collins
B0698 | The Chronicles of Narnia | C.S. Lewis
B0699 | Jane Eyre | Charlotte Brontë
B0700 | Wuthering Heights | Emily Brontë
B0701 | The Picture of Dorian Gray | Oscar Wilde
B0702 | Animal Farm | George Orwell
B0703 | Little Women | Louisa May Alcott
B0704 | Les Misérables | Victor Hugo
B0705 | The Shining | Stephen King
B0706 | It | Stephen King
B0707 | A Game of Thrones | George R.R. Martin
B0708 | The Name of the Wind | Patrick Rothfuss
B0709 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0710 | Thinking, Fast and Slow | Daniel Kahneman
B0711 | Clean Code | Robert C. Martin
B0712 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0713 | Introduction to Algorithms | Thomas H. Cormen
B0714 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0715 | Operating System Concepts | Abraham Silberschatz
B0716 | Computer Networks | Andrew S. Tanenbaum
B0717 | Database System Concepts | Abraham Silberschatz
B0718 | Modern Operating Systems | Andrew S. Tanenbaum
B0719 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0720 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0721 | To Kill a Mockingbird | Harper Lee
B0722 | 1984 | George Orwell
B0723 | Pride and Prejudice | Jane Austen
B0724 | The Great Gatsby | F. Scott Fitzgerald
B0725 | Moby-Dick | Herman Melville
B0726 | War and Peace | Leo Tolstoy
B0727 | The Catcher in the Rye | J.D. Salinger
B0728 | The Hobbit | J.R.R. Tolkien
B0729 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0730 | The Lord of the Rings | J.R.R. Tolkien
B0731 | Brave New World | Aldous Huxley
B0732 | Crime and Punishment | Fyodor Dostoevsky
B0733 | The Alchemist | Paulo Coelho
B0734 | The Da Vinci Code | Dan Brown
B0735 | The Kite Runner | Khaled Hosseini
B0736 | The Fault in Our Stars | John Green
B0737 | The Hunger Games | Suzanne Collins
B0738 | The Chronicles of Narnia | C.S. Lewis
B0739 | Jane Eyre | Charlotte Brontë
B0740 | Wuthering Heights | Emily Brontë
B0741 | The Picture of Dorian Gray | Oscar Wilde
B0742 | Animal Farm | George Orwell
B0743 | Little Women | Louisa May Alcott
B0744 | Les Misérables | Victor Hugo
B0745 | The Shining | Stephen King
B0746 | It | Stephen King
B0747 | A Game of Thrones | George R.R. Martin
B0748 | The Name of the Wind | Patrick Rothfuss
B0749 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0750 | Thinking, Fast and Slow | Daniel Kahneman
B0751 | Clean Code | Robert C. Martin
B0752 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0753 | Introduction to Algorithms | Thomas H. Cormen
B0754 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0755 | Operating System Concepts | Abraham Silberschatz
B0756 | Computer Networks | Andrew S. Tanenbaum
B0757 | Database System Concepts | Abraham Silberschatz
B0758 | Modern Operating Systems | Andrew S. Tanenbaum
B0759 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0760 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0761 | To Kill a Mockingbird | Harper Lee
B0762 | 1984 | George Orwell
B0763 | Pride and Prejudice | Jane Austen
B0764 | The Great Gatsby | F. Scott Fitzgerald
B0765 | Moby-Dick | Herman Melville
B0766 | War and Peace | Leo Tolstoy
B0767 | The Catcher in the Rye | J.D. Salinger
B0768 | The Hobbit | J.R.R. Tolkien
B0769 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0770 | The Lord of the Rings | J.R.R. Tolkien
B0771 | Brave New World | Aldous Huxley
B0772 | Crime and Punishment | Fyodor Dostoevsky
B0773 | The Alchemist | Paulo Coelho
B0774 | The Da Vinci Code | Dan Brown
B0775 | The Kite Runner | Khaled Hosseini
B0776 | The Fault in Our Stars | John Green
B0777 | The Hunger Games | Suzanne Collins
B0778 | The Chronicles of Narnia | C.S. Lewis
B0779 | Jane Eyre | Charlotte Brontë
B0780 | Wuthering Heights | Emily Brontë
B0781 | The Picture of Dorian Gray | Oscar Wilde
B0782 | Animal Farm | George Orwell
B0783 | Little Women | Louisa May Alcott
B0784 | Les Misérables | Victor Hugo
B0785 | The Shining | Stephen King
B0786 | It | Stephen King
B0787 | A Game of Thrones | George R.R. Martin
B0788 | The Name of the Wind | Patrick Rothfuss
B0789 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0790 | Thinking, Fast and Slow | Daniel Kahneman
B0791 | Clean Code | Robert C. Martin
B0792 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0793 | Introduction to Algorithms | Thomas H. Cormen
B0794 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0795 | Operating System Concepts | Abraham Silberschatz
B0796 | Computer Networks | Andrew S. Tanenbaum
B0797 | Database System Concepts | Abraham Silberschatz
B0798 | Modern Operating Systems | Andrew S. Tanenbaum
B0799 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0800 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0801 | To Kill a Mockingbird | Harper Lee
B0802 | 1984 | George Orwell
B0803 | Pride and Prejudice | Jane Austen
B0804 | The Great Gatsby | F. Scott Fitzgerald
B0805 | Moby-Dick | Herman Melville
B0806 | War and Peace | Leo Tolstoy
B0807 | The Catcher in the Rye | J.D. Salinger
B0808 | The Hobbit | J.R.R. Tolkien
B0809 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0810 | The Lord of the Rings | J.R.R. Tolkien
B0811 | Brave New World | Aldous Huxley
B0812 | Crime and Punishment | Fyodor Dostoevsky
B0813 | The Alchemist | Paulo Coelho
B0814 | The Da Vinci Code | Dan Brown
B0815 | The Kite Runner | Khaled Hosseini
B0816 | The Fault in Our Stars | John Green
B0817 | The Hunger Games | Suzanne Collins
B0818 | The Chronicles of Narnia | C.S. Lewis
B0819 | Jane Eyre | Charlotte Brontë
B0820 | Wuthering Heights | Emily Brontë
B0821 | The Picture of Dorian Gray | Oscar Wilde
B0822 | Animal Farm | George Orwell
B0823 | Little Women | Louisa May Alcott
B0824 | Les Misérables | Victor Hugo
B0825 | The Shining | Stephen King
B0826 | It | Stephen King
B0827 | A Game of Thrones | George R.R. Martin
B0828 | The Name of the Wind | Patrick Rothfuss
B0829 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0830 | Thinking, Fast and Slow | Daniel Kahneman
B0831 | Clean Code | Robert C. Martin
B0832 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0833 | Introduction to Algorithms | Thomas H. Cormen
B0834 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0835 | Operating System Concepts | Abraham Silberschatz
B0836 | Computer Networks | Andrew S. Tanenbaum
B0837 | Database System Concepts | Abraham Silberschatz
B0838 | Modern Operating Systems | Andrew S. Tanenbaum
B0839 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0840 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0841 | To Kill a Mockingbird | Harper Lee
B0842 | 1984 | George Orwell
B0843 | Pride and Prejudice | Jane Austen
B0844 | The Great Gatsby | F. Scott Fitzgerald
B0845 | Moby-Dick | Herman Melville
B0846 | War and Peace | Leo Tolstoy
B0847 | The Catcher in the Rye | J.D. Salinger
B0848 | The Hobbit | J.R.R. Tolkien
B0849 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0850 | The Lord of the Rings | J.R.R. Tolkien
B0851 | Brave New World | Aldous Huxley
B0852 | Crime and Punishment | Fyodor Dostoevsky
B0853 | The Alchemist | Paulo Coelho
B0854 | The Da Vinci Code | Dan Brown
B0855 | The Kite Runner | Khaled Hosseini
B0856 | The Fault in Our Stars | John Green
B0857 | The Hunger Games | Suzanne Collins
B0858 | The Chronicles of Narnia | C.S. Lewis
B0859 | Jane Eyre | Charlotte Brontë
B0860 | Wuthering Heights | Emily Brontë
B0861 | The Picture of Dorian Gray | Oscar Wilde
B0862 | Animal Farm | George Orwell
B0863 | Little Women | Louisa May Alcott
B0864 | Les Misérables | Victor Hugo
B0865 | The Shining | Stephen King
B0866 | It | Stephen King
B0867 | A Game of Thrones | George R.R. Martin
B0868 | The Name of the Wind | Patrick Rothfuss
B0869 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0870 | Thinking, Fast and Slow | Daniel Kahneman
B0871 | Clean Code | Robert C. Martin
B0872 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0873 | Introduction to Algorithms | Thomas H. Cormen
B0874 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0875 | Operating System Concepts | Abraham Silberschatz
B0876 | Computer Networks | Andrew S. Tanenbaum
B0877 | Database System Concepts | Abraham Silberschatz
B0878 | Modern Operating Systems | Andrew S. Tanenbaum
B0879 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0880 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0881 | To Kill a Mockingbird | Harper Lee
B0882 | 1984 | George Orwell
B0883 | Pride and Prejudice | Jane Austen
B0884 | The Great Gatsby | F. Scott Fitzgerald
B0885 | Moby-Dick | Herman Melville
B0886 | War and Peace | Leo Tolstoy
B0887 | The Catcher in the Rye | J.D. Salinger
B0888 | The Hobbit | J.R.R. Tolkien
B0889 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0890 | The Lord of the Rings | J.R.R. Tolkien
B0891 | Brave New World | Aldous Huxley
B0892 | Crime and Punishment | Fyodor Dostoevsky
B0893 | The Alchemist | Paulo Coelho
B0894 | The Da Vinci Code | Dan Brown
B0895 | The Kite Runner | Khaled Hosseini
B0896 | The Fault in Our Stars | John Green
B0897 | The Hunger Games | Suzanne Collins
B0898 | The Chronicles of Narnia | C.S. Lewis
B0899 | Jane Eyre | Charlotte Brontë
B0900 | Wuthering Heights | Emily Brontë
B0901 | The Picture of Dorian Gray | Oscar Wilde
B0902 | Animal Farm | George Orwell
B0903 | Little Women | Louisa May Alcott
B0904 | Les Misérables | Victor Hugo
B0905 | The Shining | Stephen King
B0906 | It | Stephen King
B0907 | A Game of Thrones | George R.R. Martin
B0908 | The Name of the Wind | Patrick Rothfuss
B0909 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0910 | Thinking, Fast and Slow | Daniel Kahneman
B0911 | Clean Code | Robert C. Martin
B0912 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0913 | Introduction to Algorithms | Thomas H. Cormen
B0914 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0915 | Operating System Concepts | Abraham Silberschatz
B0916 | Computer Networks | Andrew S. Tanenbaum
B0917 | Database System Concepts | Abraham Silberschatz
B0918 | Modern Operating Systems | Andrew S. Tanenbaum
B0919 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0920 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0921 | To Kill a Mockingbird | Harper Lee
B0922 | 1984 | George Orwell
B0923 | Pride and Prejudice | Jane Austen
B0924 | The Great Gatsby | F. Scott Fitzgerald
B0925 | Moby-Dick | Herman Melville
B0926 | War and Peace | Leo Tolstoy
B0927 | The Catcher in the Rye | J.D. Salinger
B0928 | The Hobbit | J.R.R. Tolkien
B0929 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0930 | The Lord of the Rings | J.R.R. Tolkien
B0931 | Brave New World | Aldous Huxley
B0932 | Crime and Punishment | Fyodor Dostoevsky
B0933 | The Alchemist | Paulo Coelho
B0934 | The Da Vinci Code | Dan Brown
B0935 | The Kite Runner | Khaled Hosseini
B0936 | The Fault in Our Stars | John Green
B0937 | The Hunger Games | Suzanne Collins
B0938 | The Chronicles of Narnia | C.S. Lewis
B0939 | Jane Eyre | Charlotte Brontë
B0940 | Wuthering Heights | Emily Brontë
B0941 | The Picture of Dorian Gray | Oscar Wilde
B0942 | Animal Farm | George Orwell
B0943 | Little Women | Louisa May Alcott
B0944 | Les Misérables | Victor Hugo
B0945 | The Shining | Stephen King
B0946 | It | Stephen King
B0947 | A Game of Thrones | George R.R. Martin
B0948 | The Name of the Wind | Patrick Rothfuss
B0949 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0950 | Thinking, Fast and Slow | Daniel Kahneman
B0951 | Clean Code | Robert C. Martin
B0952 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0953 | Introduction to Algorithms | Thomas H. Cormen
B0954 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0955 | Operating System Concepts | Abraham Silberschatz
B0956 | Computer Networks | Andrew S. Tanenbaum
B0957 | Database System Concepts | Abraham Silberschatz
B0958 | Modern Operating Systems | Andrew S. Tanenbaum
B0959 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B0960 | Refactoring: Improving the Design of Existing Code | Martin Fowler
B0961 | To Kill a Mockingbird | Harper Lee
B0962 | 1984 | George Orwell
B0963 | Pride and Prejudice | Jane Austen
B0964 | The Great Gatsby | F. Scott Fitzgerald
B0965 | Moby-Dick | Herman Melville
B0966 | War and Peace | Leo Tolstoy
B0967 | The Catcher in the Rye | J.D. Salinger
B0968 | The Hobbit | J.R.R. Tolkien
B0969 | Harry Potter and the Sorcerer's Stone | J.K. Rowling
B0970 | The Lord of the Rings | J.R.R. Tolkien
B0971 | Brave New World | Aldous Huxley
B0972 | Crime and Punishment | Fyodor Dostoevsky
B0973 | The Alchemist | Paulo Coelho
B0974 | The Da Vinci Code | Dan Brown
B0975 | The Kite Runner | Khaled Hosseini
B0976 | The Fault in Our Stars | John Green
B0977 | The Hunger Games | Suzanne Collins
B0978 | The Chronicles of Narnia | C.S. Lewis
B0979 | Jane Eyre | Charlotte Brontë
B0980 | Wuthering Heights | Emily Brontë
B0981 | The Picture of Dorian Gray | Oscar Wilde
B0982 | Animal Farm | George Orwell
B0983 | Little Women | Louisa May Alcott
B0984 | Les Misérables | Victor Hugo
B0985 | The Shining | Stephen King
B0986 | It | Stephen King
B0987 | A Game of Thrones | George R.R. Martin
B0988 | The Name of the Wind | Patrick Rothfuss
B0989 | Sapiens: A Brief History of Humankind | Yuval Noah Harari
B0990 | Thinking, Fast and Slow | Daniel Kahneman
B0991 | Clean Code | Robert C. Martin
B0992 | Design Patterns: Elements of Reusable Object-Oriented Software | Erich Gamma et al.
B0993 | Introduction to Algorithms | Thomas H. Cormen
B0994 | Artificial Intelligence: A Modern Approach | Stuart Russell and Peter Norvig
B0995 | Operating System Concepts | Abraham Silberschatz
B0996 | Computer Networks | Andrew S. Tanenbaum
B0997 | Database System Concepts | Abraham Silberschatz
B0998 | Modern Operating Systems | Andrew S. Tanenbaum
B0999 | The Pragmatic Programmer | Andrew Hunt and David Thomas
B1000 | Refactoring: Improving the Design of Existing Code | Martin Fowler
